source_id,timestamp,raw_value
CRM_Sales_North,2024-03-01T08:00:00,1200.50
IoT_Sensor_Temp_01,2024-03-01T08:05:00,45.2 C
CRM_Sales_South,2024-03-01T08:10:00,€ 3400.00
ERP_Log_System,2024-03-01T08:15:00,SYSTEM_OK
CRM_Sales_East,2024-03-01T08:30:00,2100.00 EUR
IoT_Sensor_Vib_02,2024-03-01T08:45:00,10 Hz
CRM_Sales_West,2024-03-01T09:00:00,$ 5000.99
IoT_Sensor_Temp_01,2024-03-01T09:05:00,46.1 C
CRM_Sales_North,2024-03-01T09:15:00,1350.25
ERP_Log_System,2024-03-01T09:30:00,NULL
IoT_Sensor_Err,2024-03-01T09:45:00,CONNECTION_LOST
CRM_Sales_South,2024-03-01T10:00:00,3450.50
IoT_Sensor_Pres_03,2024-03-01T10:10:00,1013 hPa
CRM_Sales_East,2024-03-01T10:30:00,€ 2050
IoT_Sensor_Temp_01,2024-03-01T10:45:00,48.5 C
CRM_Sales_West,2024-03-01T11:00:00,5100 USD
IoT_Sensor_Vib_02,2024-03-01T11:15:00,12 Hz
ERP_Log_System,2024-03-01T11:30:00,WARN_LATENCY
CRM_Sales_North,2024-03-01T12:00:00,1600.00
IoT_Sensor_Temp_01,2024-03-01T12:15:00,55.0 C (WARNING)
CRM_Sales_South,2024-03-01T12:30:00,€ 3600.00
IoT_Sensor_Vib_02,2024-03-01T12:45:00,NULL
CRM_Sales_East,2024-03-01T13:00:00,1900.50
IoT_Sensor_Pres_03,2024-03-01T13:15:00,1015 hPa
CRM_Sales_West,2024-03-01T13:30:00,$5200.00
IoT_Sensor_Temp_01,2024-03-01T13:45:00,58.2 C
ERP_Log_System,2024-03-01T14:00:00,DATA_CORRUPT
CRM_Sales_North,2024-03-01T14:15:00,1400.75
IoT_Sensor_Vib_02,2024-03-01T14:30:00,15 Hz
CRM_Sales_South,2024-03-01T14:45:00,€3300
IoT_Sensor_Err,2024-03-01T15:00:00,SENSOR_OFFLINE
CRM_Sales_East,2024-03-01T15:15:00,2150.00
IoT_Sensor_Temp_01,2024-03-01T15:30:00,44.0 C
CRM_Sales_West,2024-03-01T15:45:00,5300.00
ERP_Log_System,2024-03-01T16:00:00,NULL
IoT_Sensor_Pres_03,2024-03-01T16:15:00,1012
CRM_Sales_North,2024-03-01T16:30:00,1550.00
IoT_Sensor_Vib_02,2024-03-01T16:45:00,11 Hz
CRM_Sales_South,2024-03-01T17:00:00,3500.00
IoT_Sensor_Temp_01,2024-03-01T17:15:00,43.5 C
CRM_Sales_East,2024-03-01T17:30:00,2200 EUR
IoT_Sensor_Err,2024-03-01T17:45:00,CRITICAL_FAILURE
CRM_Sales_West,2024-03-01T18:00:00,$ 5400.10
IoT_Sensor_Vib_02,2024-03-01T18:15:00,9 Hz
ERP_Log_System,2024-03-01T18:30:00,SYSTEM_SHUTDOWN_INIT
CRM_Sales_North,2024-03-01T18:45:00,1600.50
IoT_Sensor_Temp_01,2024-03-01T19:00:00,42.0 C
CRM_Sales_South,2024-03-01T19:15:00,€ 3450.00
